constraint_score,N90,cv_effect_N90,promoter_dominance,enhancer_load,balance_metric,skewness_effect,vg_eqtl,is_essential,gene_symbol,loeuf_score,cluster,architecture_type
-0.3307813190188822,9,0.5320502552733759,0.0005904434492924227,0.03514007303952643,0.06906721043836954,7.763656062925569,0.0012383,1,CDK5R1,0.378,0,buffered (complex)
-0.6862584894370616,13,0.6055039422494906,0.3454556053219846,0.0320627784048566,0.03277758667961724,4.5584690496954385,0.00228186,1,BIN1,0.368,0,buffered (complex)
-0.6979875731206311,20,0.7266618349370731,0.029114246929859852,0.3828049513079532,0.025297112470027115,5.288485704441855,0.00335642,1,SIPA1L2,0.287,0,buffered (complex)
-0.6164606050520873,14,0.8525414206167551,0.0034339837856740612,0.13597251833620683,0.010125033681062524,6.7955903320863165,0.00349469,1,HMGCR,0.26,0,buffered (complex)
-0.7937380674414364,19,0.7651546822683558,3.460016325565002e-05,0.3519109102122444,0.006716165882999415,5.646623143843369,0.00610713,1,COL15A1,0.504,0,buffered (complex)
-0.8110074582935639,45,1.3366764199982233,0.264217872004166,0.2644474671292815,0.005938616809195702,5.8563381926869456,0.00151341,1,FCHO2,0.222,0,buffered (complex)
-0.5219571186166655,8,0.46854106780765775,0.0,0.0,0.042259530134363746,3.727749836277066,0.00109484,1,EPB41,0.519,0,buffered (complex)
-0.9093843874485112,10,0.3626131130648727,0.1352780375294749,0.47564136734327644,0.6292103591102677,2.1760704881740667,0.000989967,1,PSMD13,0.194,0,buffered (complex)
-0.8755258148467411,36,1.6560730681251845,0.037386837414778426,0.06715613843969023,0.020895936036080663,10.469926100713622,0.00186915,1,PRKD2,0.189,0,buffered (complex)
-0.5647866198696205,19,0.7807279901469422,0.0,0.0,0.09723301857009328,6.151485908162127,0.00186032,1,CGGBP1,0.532,0,buffered (complex)
-0.7815265132462079,24,1.450640581601687,0.004933787738782346,0.08189561869476253,0.03199984145250081,7.453919015301111,0.00317409,1,PLEC,0.392,0,buffered (complex)
-0.3064034472816359,17,0.9290022941662174,0.002656788503124627,0.10904322197601532,0.011616239699894827,5.363474979545377,0.00100273,1,CBX6,0.262,0,buffered (complex)
-0.7120604145808509,25,0.7499787793955387,0.009721653365972673,0.12736356740912094,0.004073314143720234,4.993245691351022,0.00279594,1,LOXL1,0.382,0,buffered (complex)
-0.46989050327443754,19,0.8400056191316768,0.0,0.0,0.014238631748574995,3.477303737827483,0.00110965,1,CANX,0.359,0,buffered (complex)
-0.697405332431904,6,0.7905938712391042,0.027480940673622205,0.8650190211162438,0.030773471798390267,6.006562643216336,0.000984484,1,KIFBP,0.511,0,buffered (complex)
-0.6547288865259785,8,0.47572383138135416,0.0,0.0,0.029561276473283965,5.488215061352824,0.00285888,1,HOXB3,0.409,0,buffered (complex)
-0.38006652548974856,19,0.6804262615000324,0.0029831391001331844,0.32736845683848054,0.06592145126696893,4.28916610960715,0.0115242,1,NDNF,0.512,0,buffered (complex)
-0.39737639367741273,14,0.7931493684334524,0.001119486693658928,0.12033740277830675,0.0977487533339373,4.919051371351857,0.0020454,1,GAB2,0.304,0,buffered (complex)
-0.669853235365862,22,1.0278311503982913,0.08346079771648236,0.6848552624436605,0.1089335720909948,4.813355604707364,0.000957364,1,RPL10A,0.444,0,buffered (complex)
-0.8315426978737017,16,1.3911509909512958,0.0023628786919486695,0.00148888541069233,0.06754571073240884,13.104936148198313,0.00186921,1,FRS3,0.464,0,buffered (complex)
-0.6838433143794191,10,0.7821401290037001,0.04608039140338446,0.13189527015784017,0.07365677439647074,6.521904954764065,0.00271077,1,TBKBP1,0.467,0,buffered (complex)
-0.4849761912872492,15,0.5352359971439543,0.021160036595118514,0.086478940809145,0.025396622141781316,4.213851763285439,0.0011264,1,TSPAN5,0.381,0,buffered (complex)
-0.5681053662834313,11,0.6041164729823388,0.04729580773996304,0.8509570044741103,0.007912033030942452,3.6313236334205983,0.00156389,1,TP53INP2,0.542,0,buffered (complex)
-0.49623316130171663,21,0.4656897029920652,0.03639644666959602,0.3525907352663858,0.08869098435941662,3.46203140662347,0.00157713,1,MYO10,0.374,0,buffered (complex)
-0.5136958736502912,8,0.723563612756649,0.1803573530876877,0.015578409937210366,0.02850290778156942,7.366719302837283,0.00114549,1,EIF4A3,0.119,0,buffered (complex)
-0.7071043916459586,27,0.8097568387000402,0.30518678822410006,0.3730055246339575,0.04631194235829327,5.0305516745043795,0.00216403,1,SEC61A2,0.558,0,buffered (complex)
-0.4783999680313731,17,0.5287916537484691,0.021812830596676446,0.07803617300654546,0.009394499199710608,4.270232257700966,0.00458994,1,TNFAIP3,0.196,0,buffered (complex)
-0.8399395515715592,24,0.8279354705614504,0.011707489239933502,0.046031871103079526,0.0638629871962794,8.20589416061161,0.00111011,1,ZNF202,0.419,0,buffered (complex)
-0.42252329630944213,9,0.3703062005759444,0.5568468215351385,0.004873927759886724,0.0454957080826082,11.395766137177214,0.000927704,1,CPOX,0.542,1,fragile (simple)
-0.4305659749222423,16,0.6374197125519844,0.027137590286399758,0.07576501003508178,0.052910308835805324,3.671358957007773,0.00125873,1,AUTS2,0.253,0,buffered (complex)
