gene_symbol,gene_id,architecture_type,constraint_score,N90,enhancer_load,pLI,tau,loeuf_score
CDK5R1,ENSG00000176749,buffered (complex),-0.3307813190188822,9,0.03514007303952643,0.9149,0.78928668,0.378
BIN1,ENSG00000136717,buffered (complex),-0.6862584894370616,13,0.0320627784048566,0.77822,0.42604355,0.368
SIPA1L2,ENSG00000116991,buffered (complex),-0.6979875731206311,20,0.3828049513079532,0.99215,0.376186626,0.287
HMGCR,ENSG00000113161,buffered (complex),-0.6164606050520873,14,0.13597251833620683,0.99861,0.327993042,0.26
COL15A1,ENSG00000204291,buffered (complex),-0.7937380674414364,19,0.3519109102122444,2.5406e-08,0.314418454,0.504
FCHO2,ENSG00000157107,buffered (complex),-0.8110074582935639,45,0.2644474671292815,0.99973,0.220201992,0.222
EPB41,ENSG00000159023,buffered (complex),-0.5219571186166655,8,0.0,3.5942e-05,0.243553265,0.519
PSMD13,ENSG00000185627,buffered (complex),-0.9093843874485112,10,0.47564136734327644,0.99901,0.068653391,0.194
PRKD2,ENSG00000105287,buffered (complex),-0.8755258148467411,36,0.06715613843969023,0.99995,0.251722201,0.189
CGGBP1,ENSG00000163320,buffered (complex),-0.5647866198696205,19,0.0,0.81819,0.146918259,0.532
PLEC,ENSG00000178209,buffered (complex),-0.7815265132462079,24,0.08189561869476253,8.3469e-12,0.233868847,0.392
CBX6,ENSG00000183741,buffered (complex),-0.3064034472816359,17,0.10904322197601532,0.97568,0.210737508,0.262
LOXL1,ENSG00000129038,buffered (complex),-0.7120604145808509,25,0.12736356740912094,0.88677,0.426726168,0.382
CANX,ENSG00000127022,buffered (complex),-0.46989050327443754,19,0.0,0.86635,0.123190346,0.359
KIFBP,ENSG00000198954,buffered (complex),-0.697405332431904,6,0.8650190211162438,0.075682,0.228006735,0.511
HOXB3,ENSG00000120093,buffered (complex),-0.6547288865259785,8,0.0,0.8917,0.501252357,0.409
NDNF,ENSG00000173376,buffered (complex),-0.38006652548974856,19,0.32736845683848054,0.38029,0.653110786,0.512
GAB2,ENSG00000033327,buffered (complex),-0.39737639367741273,14,0.12033740277830675,0.98325,0.289420087,0.304
RPL10A,ENSG00000198755,buffered (complex),-0.669853235365862,22,0.6848552624436605,0.85357,0.15735034,0.444
FRS3,ENSG00000137218,buffered (complex),-0.8315426978737017,16,0.00148888541069233,0.55047,0.394565454,0.464
TBKBP1,ENSG00000198933,buffered (complex),-0.6838433143794191,10,0.13189527015784017,0.27032,0.227697455,0.467
TSPAN5,ENSG00000168785,buffered (complex),-0.4849761912872492,15,0.086478940809145,0.90951,0.45989658,0.381
TP53INP2,ENSG00000078804,buffered (complex),-0.5681053662834313,11,0.8509570044741103,0.8117,0.338573605,0.542
MYO10,ENSG00000145555,buffered (complex),-0.49623316130171663,21,0.3525907352663858,3.1562e-05,0.376309146,0.374
EIF4A3,ENSG00000141543,buffered (complex),-0.5136958736502912,8,0.015578409937210366,0.99985,0.147738117,0.119
SEC61A2,ENSG00000065665,buffered (complex),-0.7071043916459586,27,0.3730055246339575,0.0073737,0.393574602,0.558
TNFAIP3,ENSG00000118503,buffered (complex),-0.4783999680313731,17,0.07803617300654546,0.99972,0.342706004,0.196
ZNF202,ENSG00000166261,buffered (complex),-0.8399395515715592,24,0.046031871103079526,0.5263,0.260657479,0.419
CPOX,ENSG00000080819,fragile (simple),-0.42252329630944213,9,0.004873927759886724,0.17152,0.176273919,0.542
AUTS2,ENSG00000158321,buffered (complex),-0.4305659749222423,16,0.07576501003508178,0.99934,0.320767726,0.253
