gene_symbol,gene_id,architecture_type,constraint_score,N90,enhancer_load,pLI,tau,loeuf_score
NECTIN2,ENSG00000130202,buffered (complex),0.3042406262393866,5,0.9471522707060778,0.96926,0.15847442,0.323
DHDDS,ENSG00000117682,buffered (complex),-0.5137230904594507,2,0.8942396144815342,0.24533,0.201062892,0.51
RAD54L2,ENSG00000164080,buffered (complex),-0.21682811807503663,16,0.8840350901954794,1.0,0.222216225,0.076
KIFBP,ENSG00000198954,buffered (complex),-0.697405332431904,6,0.8650190211162438,0.075682,0.228006735,0.511
TP53INP2,ENSG00000078804,buffered (complex),-0.5681053662834313,11,0.8509570044741103,0.8117,0.338573605,0.542
STK38L,ENSG00000211455,buffered (complex),-0.03071298119186178,13,0.8252334779176932,0.93427,0.408943549,0.348
PKN1,ENSG00000123143,buffered (complex),0.10784662373492573,7,0.8222249171277242,0.20442,0.14498651,0.392
ITPKA,ENSG00000137825,buffered (complex),-0.1863774289595501,12,0.7659228581950964,0.64926,0.805655305,0.472
CDH20,ENSG00000101542,buffered (complex),0.22201335733612582,8,0.690767564274119,0.45869,0.946989002,0.411
RPL10A,ENSG00000198755,buffered (complex),-0.669853235365862,22,0.6848552624436605,0.85357,0.15735034,0.444
MLH1,ENSG00000076242,buffered (complex),-0.6917314342701715,5,0.6639573144003952,3.41e-05,0.203047004,0.575
CREBL2,ENSG00000111269,buffered (complex),0.4818376704431321,10,0.6319995085318376,0.72167,0.29937993,0.556
ENPP1,ENSG00000197594,buffered (complex),-0.1495471782473947,12,0.5705637927230482,4.9944e-08,0.561668172,0.586
FAM120A,ENSG00000048828,buffered (complex),-0.2763096281844105,13,0.5415516793606978,1.0,0.091733473,0.163
AXIN1,ENSG00000103126,buffered (complex),-0.8962032616224642,8,0.5133183045514422,0.40765,0.124729651,0.403
SUGT1,ENSG00000165416,buffered (complex),-0.23352649608736933,14,0.488784126695056,0.45272,0.231096258,0.455
IPO7,ENSG00000205339,buffered (complex),-0.4876683393951935,15,0.4779339293949202,1.0,0.196966483,0.106
PSMD13,ENSG00000185627,buffered (complex),-0.9093843874485112,10,0.47564136734327644,0.99901,0.068653391,0.194
HIKESHI,ENSG00000149196,buffered (complex),0.14650655528867032,9,0.42405855421828875,0.52459,0.186355971,0.591
TECPR2,ENSG00000196663,buffered (complex),-0.6323477852635593,25,0.419940643688593,0.58003,0.272382554,0.346
B4GALT2,ENSG00000117411,buffered (complex),-0.7233268772776299,51,0.41844430036895486,0.19829,0.142367734,0.592
SIPA1L2,ENSG00000116991,buffered (complex),-0.6979875731206311,20,0.3828049513079532,0.99215,0.376186626,0.287
CTNNBL1,ENSG00000132792,buffered (complex),-0.6211731441666566,21,0.3738864589524046,0.0097107,0.242012976,0.51
SEC61A2,ENSG00000065665,buffered (complex),-0.7071043916459586,27,0.3730055246339575,0.0073737,0.393574602,0.558
MAU2,ENSG00000129933,buffered (complex),-0.40233556046549607,18,0.35705081572603403,1.0,0.15025174,0.119
MYO10,ENSG00000145555,buffered (complex),-0.49623316130171663,21,0.3525907352663858,3.1562e-05,0.376309146,0.374
COL15A1,ENSG00000204291,buffered (complex),-0.7937380674414364,19,0.3519109102122444,2.5406e-08,0.314418454,0.504
NDNF,ENSG00000173376,buffered (complex),-0.38006652548974856,19,0.32736845683848054,0.38029,0.653110786,0.512
CNOT8,ENSG00000155508,buffered (complex),0.1744676464955481,9,0.3256608382389968,0.21741,0.168478195,0.58
GNAL,ENSG00000141404,buffered (complex),-0.06986635707526348,11,0.319495542002941,0.99829,0.510567579,0.206
PKD2,ENSG00000118762,buffered (complex),-0.7468118324843773,16,0.31356873305547406,0.00017271,0.342684884,0.497
RANBP9,ENSG00000010017,buffered (complex),-0.8505148038853175,86,0.29048598993653335,0.99999,0.290670508,0.13
THRAP3,ENSG00000054118,buffered (complex),-0.6282640337478068,5,0.28089532203135525,0.99998,0.094309795,0.19
FCHO2,ENSG00000157107,buffered (complex),-0.8110074582935639,45,0.2644474671292815,0.99973,0.220201992,0.222
EXOC1,ENSG00000090989,buffered (complex),-0.4310373786641296,8,0.26288233998711846,0.00069012,0.179436873,0.479
PSMC1,ENSG00000100764,buffered (complex),-0.7894492873003963,11,0.26053120860788076,0.99945,0.215699717,0.138
TXLNA,ENSG00000084652,buffered (complex),-0.5929974182877569,36,0.2414776669286784,0.99731,0.152739488,0.24
NBEAL2,ENSG00000160796,buffered (complex),-0.1926088501266197,13,0.1834854717666987,0.059764,0.344425312,0.32
RC3H1,ENSG00000135870,buffered (complex),-0.04414096698812961,11,0.1672543574791469,0.99309,0.177285524,0.287
HMGCR,ENSG00000113161,buffered (complex),-0.6164606050520873,14,0.13597251833620683,0.99861,0.327993042,0.26
TBKBP1,ENSG00000198933,buffered (complex),-0.6838433143794191,10,0.13189527015784017,0.27032,0.227697455,0.467
LOXL1,ENSG00000129038,buffered (complex),-0.7120604145808509,25,0.12736356740912094,0.88677,0.426726168,0.382
GAB2,ENSG00000033327,buffered (complex),-0.39737639367741273,14,0.12033740277830675,0.98325,0.289420087,0.304
CBX6,ENSG00000183741,buffered (complex),-0.3064034472816359,17,0.10904322197601532,0.97568,0.210737508,0.262
COL4A2,ENSG00000134871,buffered (complex),0.06164919657970385,11,0.09506872272741082,3.5842e-15,0.303754421,0.585
TLN2,ENSG00000171914,buffered (complex),-0.0008881220988815116,7,0.09064241078938005,0.99231,0.402079358,0.279
TSPAN5,ENSG00000168785,buffered (complex),-0.4849761912872492,15,0.086478940809145,0.90951,0.45989658,0.381
FAM98A,ENSG00000119812,buffered (complex),-0.13020606178368915,10,0.08329875253037032,0.54728,0.262420778,0.415
PLEC,ENSG00000178209,buffered (complex),-0.7815265132462079,24,0.08189561869476253,8.3469e-12,0.233868847,0.392
TNFAIP3,ENSG00000118503,buffered (complex),-0.4783999680313731,17,0.07803617300654546,0.99972,0.342706004,0.196
MMS19,ENSG00000155229,buffered (complex),-0.8367384074451075,34,0.07717025158939116,0.0082883,0.159018948,0.421
AUTS2,ENSG00000158321,buffered (complex),-0.4305659749222423,16,0.07576501003508178,0.99934,0.320767726,0.253
PRKD2,ENSG00000105287,buffered (complex),-0.8755258148467411,36,0.06715613843969023,0.99995,0.251722201,0.189
SEPHS1,ENSG00000086475,buffered (complex),-0.9105186606586306,39,0.0656687696153827,0.97637,0.179415155,0.298
NPC1,ENSG00000141458,buffered (complex),0.030477841789062064,6,0.06495212114253439,6.5418e-06,0.330662895,0.486
ZNF202,ENSG00000166261,buffered (complex),-0.8399395515715592,24,0.046031871103079526,0.5263,0.260657479,0.419
SARNP,ENSG00000205323,buffered (complex),-0.7247806381843547,16,0.04405147640090659,0.99574,0.128298042,0.185
DDX24,ENSG00000089737,buffered (complex),-0.499447096017053,15,0.04082069968201495,0.68465,0.15045161,0.381
SUPT16H,ENSG00000092201,buffered (complex),-0.4410038836064451,20,0.03591846399828566,1.0,0.154185964,0.12
CDK5R1,ENSG00000176749,buffered (complex),-0.3307813190188822,9,0.03514007303952643,0.9149,0.78928668,0.378
BIN1,ENSG00000136717,buffered (complex),-0.6862584894370616,13,0.0320627784048566,0.77822,0.42604355,0.368
HSPH1,ENSG00000120694,buffered (complex),-0.24903778620159256,7,0.029336272985831326,0.99822,0.203804903,0.264
IDH2,ENSG00000182054,buffered (complex),0.11593156311130913,10,0.023259992337665326,0.88271,0.327320365,0.384
SET,ENSG00000119335,buffered (complex),-0.40332113933948116,54,0.022913908116989658,0.99597,0.093646514,0.183
UBE2Q1,ENSG00000160714,buffered (complex),-0.5547274743938524,9,0.021918180416779752,0.99919,0.178893518,0.19
XPR1,ENSG00000143324,buffered (complex),-0.794971011069107,13,0.015620628753320057,0.99999,0.235521654,0.156
EIF4A3,ENSG00000141543,buffered (complex),-0.5136958736502912,8,0.015578409937210366,0.99985,0.147738117,0.119
SP2,ENSG00000167182,buffered (complex),-0.9151912788704523,3,0.014850886547603736,0.99721,0.149482867,0.219
LRRC59,ENSG00000108829,buffered (complex),-0.5058381025852712,9,0.014622927509684155,0.43432,0.161524235,0.551
FASTK,ENSG00000164896,buffered (complex),-0.495225363629691,11,0.014069316128144889,0.0047199,0.121854252,0.583
AKAP8L,ENSG00000011243,buffered (complex),0.19280142274062714,7,0.013826785290287785,0.028839,0.150122369,0.468
PKD1,ENSG00000008710,buffered (complex),-0.8538996671164393,31,0.012537833150280387,1.0,0.308367687,0.179
PSIP1,ENSG00000164985,buffered (complex),-0.371223741257591,19,0.011695453563257203,0.99668,0.228957333,0.266
KDM5A,ENSG00000073614,buffered (complex),-0.06401531950561452,10,0.009156997871723402,1.0,0.268914044,0.163
ARMC1,ENSG00000104442,buffered (complex),0.04855594733904306,5,0.006314124559666734,0.76284,0.164584907,0.466
ACIN1,ENSG00000100813,buffered (complex),-0.9981554170959928,63,0.005493994827207035,1.0,0.136695014,0.201
SUSD6,ENSG00000100647,buffered (complex),-0.6027646376106982,1,0.0047531019174643285,0.63265,0.215058152,0.532
RNPS1,ENSG00000205937,buffered (complex),-0.2537654913129669,28,0.0046918157560284675,0.9798,0.112837564,0.251
PSMB5,ENSG00000100804,buffered (complex),-0.5469252117651183,3,0.00424974742249569,0.95893,0.152063999,0.3
SYMPK,ENSG00000125755,buffered (complex),0.03311017851841749,9,0.003834552924894187,1.0,0.219949269,0.179
OSBPL8,ENSG00000091039,buffered (complex),-0.725183941121761,5,0.0036537623660410036,0.010518,0.23088868,0.416
FRS3,ENSG00000137218,buffered (complex),-0.8315426978737017,16,0.00148888541069233,0.55047,0.394565454,0.464
FIZ1,ENSG00000179943,buffered (complex),-0.7990686375931478,35,0.00022654043080041052,0.52618,0.264135353,0.59
MTPAP,ENSG00000107951,buffered (complex),-0.8074536167724929,9,0.0,0.99904,0.413771993,0.193
CANX,ENSG00000127022,buffered (complex),-0.46989050327443754,19,0.0,0.86635,0.123190346,0.359
RUFY3,ENSG00000018189,buffered (complex),-0.36523457539960347,18,0.0,0.020593,0.253862241,0.458
DDB1,ENSG00000167986,buffered (complex),-0.5561133154677544,23,0.0,0.99979,0.222051568,0.243
HOXB3,ENSG00000120093,buffered (complex),-0.6547288865259785,8,0.0,0.8917,0.501252357,0.409
FRMD4A,ENSG00000151474,buffered (complex),0.07859679237848702,7,0.0,1.0,0.337018897,0.135
SMOC1,ENSG00000198732,buffered (complex),-0.2928890666230134,10,0.0,0.0094673,0.574158058,0.592
USP32,ENSG00000170832,buffered (complex),0.058123169444844816,14,0.0,1.0,0.442978117,0.224
MAPK6,ENSG00000069956,buffered (complex),0.21518184944223437,15,0.0,0.69646,0.273110768,0.407
CGGBP1,ENSG00000163320,buffered (complex),-0.5647866198696205,19,0.0,0.81819,0.146918259,0.532
DIO2,ENSG00000211448,buffered (complex),0.02674775024374721,7,0.0,0.6196,0.721574153,0.539
EPB41,ENSG00000159023,buffered (complex),-0.5219571186166655,8,0.0,3.5942e-05,0.243553265,0.519
