gene_symbol,gene_id,architecture_type,constraint_score,N90,enhancer_load,pLI,tau,loeuf_score
ACAP1,ENSG00000072818,fragile (simple),2.0773522393186603,1,0.03221543692252944,0.067617,0.607914138,0.423
CLPP,ENSG00000125656,fragile (simple),1.9598559660048855,6,0.2061259903241272,0.57106,0.056757807,0.565
FNTB,ENSG00000257365,fragile (simple),1.8701416367293662,7,0.023694288452846924,0.078838,0.268646264,0.509
RASAL2,ENSG00000075391,fragile (simple),1.8491789890252543,6,0.5544441326116119,0.79641,0.38149924,0.335
ADAMTS2,ENSG00000087116,fragile (simple),1.745777498097306,4,0.04632851478017651,0.9661,0.351544992,0.311
MLLT3,ENSG00000171843,fragile (simple),1.6180244855668746,5,0.004140190862738243,0.99964,0.440212533,0.131
SPTBN1,ENSG00000115306,fragile (simple),1.2738408139820108,6,0.34755612944669695,1.0,0.253785784,0.088
HACE1,ENSG00000085382,fragile (simple),1.1694813295563498,1,0.001607826029807822,6.0798e-06,0.326798399,0.524
FAM222B,ENSG00000173065,fragile (simple),1.1333706129710173,7,0.0,0.29182,0.387523942,0.544
SYNCRIP,ENSG00000135316,fragile (simple),1.05544977528581,3,0.006309558753991944,0.99939,0.152283956,0.209
AP4E1,ENSG00000081014,fragile (simple),1.0370380635858036,6,0.26121141210540316,0.0027529,0.296747911,0.431
CRTC3,ENSG00000140577,fragile (simple),1.0289201565063275,16,0.07997575933929717,0.86585,0.25161995,0.359
FAM193B,ENSG00000146067,fragile (simple),0.8995986670316901,3,0.0027683665205074873,0.9933,0.147234171,0.275
ZMYM2,ENSG00000121741,fragile (simple),0.8173119430484199,8,0.7758744562715553,0.66648,0.252088939,0.332
RNF38,ENSG00000137075,fragile (simple),0.8018537744258242,10,0.0,0.99995,0.340339045,0.145
FMNL2,ENSG00000157827,fragile (simple),0.7702912341219915,10,0.13001395281140793,0.9932,0.334659791,0.288
NCOA5,ENSG00000124160,fragile (simple),0.7076066994663137,4,0.016714509992972863,0.99926,0.176485815,0.212
GANAB,ENSG00000089597,fragile (simple),0.6338798523908644,5,0.0003617078535489712,0.99873,0.111455091,0.267
AQR,ENSG00000021776,fragile (simple),0.6265152988638784,4,0.01760717222004658,1.0,0.189981151,0.219
PPP3CC,ENSG00000120910,fragile (simple),0.6133317741225381,9,0.2047797906642863,0.26374,0.290701311,0.443
RPL9,ENSG00000163682,fragile (simple),0.5981697480106503,5,0.002646513834426013,0.96197,0.146958617,0.293
TTC7B,ENSG00000165914,fragile (simple),0.541240561136408,7,0.0006739412551111982,0.99998,0.508268974,0.189
ZNF395,ENSG00000186918,fragile (simple),0.47763922542373155,8,0.0,0.30888,0.227435592,0.458
IPPK,ENSG00000127080,fragile (simple),0.43017174135143577,4,0.0035495413913445312,0.8741,0.447269479,0.365
ESRRB,ENSG00000119715,fragile (simple),0.30509139083264863,5,0.0,0.12609,0.929506867,0.519
JMJD6,ENSG00000070495,fragile (simple),0.10296377167849888,6,0.0003977591135453226,0.93353,0.165075926,0.355
ATP9A,ENSG00000054793,fragile (simple),-0.11272643712386175,6,0.008426405333564592,0.99999,0.305391989,0.205
UBA6,ENSG00000033178,fragile (simple),-0.27965932115753334,10,0.004976371420594438,3.7296e-09,0.259259002,0.561
PBRM1,ENSG00000163939,fragile (simple),-0.32878033966368553,11,0.014105193630755457,1.0,0.195901977,0.129
CPOX,ENSG00000080819,fragile (simple),-0.42252329630944213,9,0.004873927759886724,0.17152,0.176273919,0.542
SH3BP5L,ENSG00000175137,fragile (simple),-0.4226838674153396,9,0.03785587973193964,0.04569,0.140950096,0.596
