metric,label,n_cl,n_bg,median_cl,median_bg,mean_cl,mean_bg,U,p,r_rb,log_transformed
vg_predicted,total vg,316,349,0.0009082335723494342,0.0012517124749173844,0.002797216602295406,0.0036775306697266813,47413.0,0.001784914243816011,0.14016539117188354,True
vg_distal_upstream,vg distal upstream,316,349,5.1489127548777944e-05,2.8586945766067096e-05,0.0004979788870069804,0.0005722557633911685,57606.0,0.31836219884459627,-0.044684632403612534,True
n_variants_distal_upstream,n variants distal upstream,316,349,3.1890678957370717,3.158060793936605,2.607124443043133,2.5880934700162257,59691.5,0.06539422508571761,-0.08250516847412137,True
mean_abs_distal_upstream,mean effect distal upstream,263,295,0.002031981780764629,0.0016913724735290526,0.00244344619392379,0.0025422364163102916,41420.0,0.16702264227130714,-0.06773216472256238,True
vg_proximal_upstream,vg proximal upstream,316,349,7.039961390162415e-06,6.22515564909452e-06,0.00013469236530597352,0.00025897263897251785,56349.0,0.625141315150918,-0.02188894127888008,True
n_variants_proximal_upstream,n variants proximal upstream,316,349,2.57460955632769,2.5403294747908736,2.1490620932720037,2.114256968182682,63568.0,0.0006449443046027065,-0.1528054840230677,True
mean_abs_proximal_upstream,mean effect proximal upstream,266,296,0.0024271970411514792,0.0022364166968139674,0.003184556582150914,0.0031732430925380016,41861.0,0.1946877641665552,-0.06332554358870146,True
vg_promoter_core,vg promoter core,316,349,4.740390796394192e-06,1.181300636262647e-05,0.00011256187185896283,0.0002866218933219034,49114.0,0.014662908854065189,0.1093177614159806,True
n_variants_promoter_core,n variants promoter core,316,349,2.0718820073061255,2.0170333392987803,1.7418829793088924,1.7096847252215208,63619.5,0.000597912636208575,-0.15373943636429588,True
mean_abs_promoter_core,mean effect promoter core,266,298,0.007706391378002061,0.009867222562942028,0.010243384373582633,0.012439896120628737,33912.0,0.003060386567169799,0.14437099460059544,True
vg_down_proximal,vg down proximal,316,349,3.1064762349711515e-05,6.434706009170429e-05,0.00036395836333209445,0.00047199520453815964,47956.5,0.0036309590718134506,0.1303090203474665,True
n_variants_down_proximal,n variants down proximal,316,349,2.639983963119504,2.5877109650189114,2.2488544515417024,2.208181986959283,69720.0,3.6092377197135573e-09,-0.2643719850567625,True
mean_abs_down_proximal,mean effect down proximal,268,301,0.005391222246936115,0.006283832976159161,0.006479847508172513,0.0078028728596069895,33973.5,0.0011578114016648914,0.15769574056627167,True
vg_down_distal,vg down distal,316,349,0.00014694389984555616,0.00022221706601549017,0.0009202384747758495,0.001118545092638676,48201.0,0.004994779808154914,0.12587501360124764,True
n_variants_down_distal,n variants down distal,316,349,3.2227164711475833,3.198931869932209,2.794403623276733,2.819370945002135,62486.0,0.002974255989603022,-0.1331834173588191,True
mean_abs_down_distal,mean effect down distal,276,314,0.0026949530235600046,0.0028646162545108685,0.0032485685864988905,0.0039280114496948034,37494.0,0.00471981653083288,0.13472722237607315,True
