label,n_cl,n_bg,med_cl,med_bg,p,r_rb
total vg,316,349,0.0009082335723494342,0.0012517124749173844,0.001784914243816011,0.14016539117188354
vg distal upstream,316,349,5.1489127548777944e-05,2.8586945766067096e-05,0.31836219884459627,-0.044684632403612534
n variants distal upstream,316,349,3.1890678957370717,3.158060793936605,0.06539422508571761,-0.08250516847412137
mean effect distal upstream,263,295,0.002031981780764629,0.0016913724735290526,0.16702264227130714,-0.06773216472256238
vg proximal upstream,316,349,7.039961390162415e-06,6.22515564909452e-06,0.625141315150918,-0.02188894127888008
n variants proximal upstream,316,349,2.57460955632769,2.5403294747908736,0.0006449443046027065,-0.1528054840230677
mean effect proximal upstream,266,296,0.0024271970411514792,0.0022364166968139674,0.1946877641665552,-0.06332554358870146
vg promoter core,316,349,4.740390796394192e-06,1.181300636262647e-05,0.014662908854065189,0.1093177614159806
n variants promoter core,316,349,2.0718820073061255,2.0170333392987803,0.000597912636208575,-0.15373943636429588
mean effect promoter core,266,298,0.007706391378002061,0.009867222562942028,0.003060386567169799,0.14437099460059544
vg down proximal,316,349,3.1064762349711515e-05,6.434706009170429e-05,0.0036309590718134506,0.1303090203474665
n variants down proximal,316,349,2.639983963119504,2.5877109650189114,3.6092377197135573e-09,-0.2643719850567625
mean effect down proximal,268,301,0.005391222246936115,0.006283832976159161,0.0011578114016648914,0.15769574056627167
vg down distal,316,349,0.00014694389984555616,0.00022221706601549017,0.004994779808154914,0.12587501360124764
n variants down distal,316,349,3.2227164711475833,3.198931869932209,0.002974255989603022,-0.1331834173588191
mean effect down distal,276,314,0.0026949530235600046,0.0028646162545108685,0.00471981653083288,0.13472722237607315
