gene_symbol,n_variants_promoter_core,gene_set
ZMYND11,0,ClinGen_HI
CDKN2A,0,ClinGen_HI
GNAS,0,ClinGen_HI
ENSG00000269194,0,Background
PLEC,0,Background
ENSG00000170089,0,Background
ENSG00000248015,0,Background
UBE2Q2P1,0,Background
GIHCG,0,Background
ENSG00000261123,0,Background
RPL29P11,0,Background
SNHG10,0,Background
ENSG00000267632,0,Background
ENSG00000289164,0,Background
ENSG00000225032,0,Background
ENSG00000287978,0,Background
EEF1A1P5,0,Background
ENSG00000274124,0,Background
ENSG00000278784,0,Background
