gene_id_base	pct_samples_tpm_gt_0.1	mean_tpm_gene	gene_name	gene_type	chrom	gene_start	gene_end	strand	gene_length_abs	n_isoforms_gencode	n_protein_coding_isoforms	n_nmd_isoforms	n_distinct_tss	n_distinct_transcript_ends	sum_mean_tpm_transcripts	n_isoforms_in_tpm_file	n_isoforms_mean_tpm_gt_0.1	max_isoform_mean_tpm	n_isoforms_ge_10pct_of_max_isoform_mean	gene_length_model_exons_union	n_distinct_exons	n_exon_blocks_merged	cds_length_union_protein_coding	n_distinct_cds_exons	n_cds_exon_blocks_merged	cds_fraction_of_exonic_length	utr5_length_union_all_pc	utr3_length_union_all_pc	n_distinct_cds_start_positions	n_distinct_cds_end_positions	n_distinct_5prime_utr_only_terminal_exons	n_distinct_3prime_utr_only_terminal_exons	canonical_transcript_id	gene_length_canonical_exons_union	cds_length_canonical_union	utr5_length_canonical	utr3_length_canonical	n_exons_canonical	n_cds_exons_canonical	sum_tx_tpm_over_gene_tpm	frac_isoforms_mean_tpm_gt_0.1
ENSG00000290825	99.70760233918129	1.5678001666666666	DDX11L16	lncRNA	chr1	11121	24894	+	13774	28	0	0	19	12	0.043333333333333335	28	0	0.015175438596491224	8	2898	46	5	0	0	0	0.0	0	0	0	0	0	0	ENST00000832823	410	0			2	0	0.02763957694013087	0.0
ENSG00000223972	0.0	0.0	DDX11L1	transcribed_unprocessed_pseudogene	chr1	12010	13670	+	1661	1	0	0	1	1	0.0	1	0	0.0	1	632	6	6	0	0	0	0.0	0	0	0	0	0	0	ENST00000450305	632	0			6	0		0.0
ENSG00000310526	89.76608187134502	0.675419771929825	WASH7P	lncRNA	chr1	14356	30744	-	16389	285	0	0	55	39	29.728040935672517	285	32	13.206140350877194	4	6775	161	12	0	0	0	0.0	0	0	0	0	0	0	ENST00000831140	2135	0			10	0	44.01417040358897	0.11228070175438597
ENSG00000243485	2.046783625730994	0.05061534795321636	MIR1302-2HG	lncRNA	chr1	28589	31109	+	2521	4	0	0	4	3	0.015087719298245615	4	0	0.010292397660818714	3	1743	8	5	0	0	0	0.0	0	0	0	0	0	0	ENST00000834618	468	0			3	0	0.2980858555430886	0.0
ENSG00000237613	0.29239766081871343	0.010186681286549707	FAM138A	lncRNA	chr1	34553	37595	-	3043	7	0	0	6	5	0.013596491228070176	7	0	0.005146198830409357	4	1743	15	4	0	0	0	0.0	0	0	0	0	0	0	ENST00000834250	1015	0			3	0	1.3347321709203481	0.0
ENSG00000308361	1.461988304093567	0.005941254385964913	ENSG00000308361	lncRNA	chr1	36526	40778	+	4253	1	0	0	1	1	0.0	1	0	0.0	1	319	2	2	0	0	0	0.0	0	0	0	0	0	0	ENST00000833573	319	0			2	0	0.0	0.0
ENSG00000290826	3.8011695906432745	0.021984146198830403	ENSG00000290826	lncRNA	chr1	51891	64116	+	12226	2	0	0	2	2	0.000497076023391813	2	0	0.0003801169590643275	2	1609	6	5	0	0	0	0.0	0	0	0	0	0	0	ENST00000832531	963	0			4	0	0.02261065855804117	0.0
ENSG00000268020	6.140350877192982	0.029878154970760237	OR4G4P	transcribed_unprocessed_pseudogene	chr1	52473	53312	+	840	1	0	0	1	1	0.0	1	0	0.0	1	840	1	1	0	0	0	0.0	0	0	0	0	0	0	ENST00000606857	840	0			1	0	0.0	0.0
ENSG00000186092	8.771929824561402	0.055570356725146215	OR4F5	protein_coding	chr1	65419	71585	+	6167	1	1	0	1	1	0.0	1	0	0.0	1	2618	3	3	978	2	2	0.3735676088617265	60	1580	1	1	1	0	ENST00000641515	2618	978	60.0	1580.0	3	2	0.0	0.0
ENSG00000241860	14.035087719298245	0.05620551461988305	ENSG00000241860	lncRNA	chr1	89295	181719	-	92425	56	0	0	32	46	1.0279239766081871	56	2	0.17514619883040947	16	14586	101	25	0	0	0	0.0	0	0	0	0	0	0	ENST00000831081	1291	0			7	0	18.288667643380187	0.03571428571428571
